person_number,year,walk
A00049,4,NotAttend
A00049,5,NotAttend
A00050,1,NotAttend
A00050,2,NotAttend
A00050,3,NotAttend
A00050,4,NotAttend
A00050,5,NotAttend
A00051,1,NotAttend
A00051,2,NotAttend
A00051,3,NotAttend
A00051,4,NotAttend
A00051,5,NotAttend
A00052,1,NotAttend
A00052,2,NotAttend
A00052,3,NotAttend
A00052,4,NotAttend
A00052,5,NotAttend
A00053,1,NotAttend
A00053,2,attend
A00053,3,attend
A00053,4,attend
A00053,5,NotAttend
A00054,1,NotAttend
A00054,2,NotAttend
A00054,3,NotAttend
A00054,4,NotAttend
A00054,5,NotAttend
A00055,1,NotAttend
A00055,2,attend
A00055,3,NotAttend
A00055,4,NotAttend
A00055,5,NotAttend
A00056,1,NotAttend
A00056,2,attend
A00056,3,NotAttend
A00056,4,attend
A00056,5,NotAttend
A00057,1,NotAttend
A00057,2,NotAttend
A00057,3,attend
A00057,4,NotAttend
A00057,5,NotAttend
A00058,1,NotAttend
A00058,2,attend
A00058,3,NotAttend
A00058,4,NotAttend
A00058,5,NotAttend
A00059,1,NotAttend
A00059,2,NotAttend
A00059,3,attend
A00059,4,NotAttend
A00059,5,NotAttend
A00060,1,NotAttend
A00060,2,NotAttend
A00060,3,NotAttend
A00060,4,NotAttend
A00060,5,attend
A00061,1,NotAttend
A00061,2,NotAttend
A00061,3,NotAttend
A00061,4,NotAttend
A00061,5,NotAttend
A00062,1,attend
A00062,2,NotAttend
A00062,3,NotAttend
A00062,4,NotAttend
A00062,5,attend
A00063,1,attend
A00063,2,NotAttend
A00063,3,attend
A00063,4,NotAttend
A00063,5,attend
A00064,1,NotAttend
A00064,2,NotAttend
A00064,3,NotAttend
A00064,4,NotAttend
A00064,5,NotAttend
A00065,1,NotAttend
A00065,2,NotAttend
A00065,3,NotAttend
A00065,4,NotAttend
A00065,5,NotAttend
A00066,1,NotAttend
A00066,2,attend
A00066,3,NotAttend
A00066,4,NotAttend
A00066,5,NotAttend
A00067,1,NotAttend
A00067,2,NotAttend
A00067,3,NotAttend
A00067,4,NotAttend
A00067,5,NotAttend
A00068,1,attend
A00068,2,NotAttend
A00068,3,NotAttend
A00068,4,NotAttend
A00068,5,NotAttend
A00069,1,NotAttend
A00069,2,NotAttend
A00069,3,NotAttend
A00069,4,NotAttend
A00069,5,NotAttend
A00070,1,NotAttend
A00070,2,attend
A00070,3,NotAttend
A00070,4,NotAttend
A00070,5,NotAttend
A00071,1,NotAttend
A00071,2,NotAttend
A00071,3,NotAttend
A00071,4,NotAttend
A00071,5,NotAttend
A00072,1,NotAttend
A00072,2,NotAttend
A00072,3,NotAttend
A00072,4,NotAttend
A00072,5,NotAttend
A00073,1,NotAttend
A00073,2,NotAttend
A00073,3,NotAttend
A00073,4,NotAttend
A00073,5,NotAttend
A00074,1,NotAttend
A00074,2,NotAttend
A00074,3,NotAttend
A00074,4,NotAttend
A00074,5,NotAttend
A00075,1,attend
A00075,2,NotAttend
A00075,3,NotAttend
A00075,4,NotAttend
A00075,5,NotAttend
A00076,1,NotAttend
A00076,2,NotAttend
A00076,3,NotAttend
A00076,4,NotAttend
A00076,5,attend
A00077,1,NotAttend
A00077,2,attend
A00077,3,attend
A00077,4,NotAttend
A00077,5,NotAttend
A00078,1,attend
A00078,2,NotAttend
A00078,3,attend
A00078,4,NotAttend
A00078,5,NotAttend
A00079,1,NotAttend
A00079,2,NotAttend
A00079,3,NotAttend
A00079,4,NotAttend
A00079,5,NotAttend
A00080,1,NotAttend
A00080,2,attend
A00080,3,attend
A00080,4,attend
A00080,5,NotAttend
A00081,1,attend
A00081,2,NotAttend
A00081,3,NotAttend
A00081,4,NotAttend
A00081,5,NotAttend
A00082,1,NotAttend
A00082,2,NotAttend
A00082,3,NotAttend
A00082,4,NotAttend
A00082,5,NotAttend
A00083,1,NotAttend
A00083,2,attend
A00083,3,attend
A00083,4,NotAttend
A00083,5,NotAttend
A00084,1,NotAttend
A00084,2,NotAttend
A00084,3,attend
A00084,4,NotAttend
A00084,5,NotAttend
A00085,1,NotAttend
A00085,2,NotAttend
A00085,3,NotAttend
A00085,4,NotAttend
A00085,5,NotAttend
A00086,1,NotAttend
A00086,2,NotAttend
A00086,3,NotAttend
A00086,4,NotAttend
A00086,5,NotAttend
A00087,1,NotAttend
A00087,2,NotAttend
A00087,3,NotAttend
A00087,4,NotAttend
A00087,5,NotAttend
A00088,1,NotAttend
A00088,2,NotAttend
A00088,3,attend
A00088,4,NotAttend
A00088,5,NotAttend
A00089,1,NotAttend
A00089,2,NotAttend
A00089,3,attend
A00089,4,attend
A00089,5,NotAttend
A00090,1,attend
A00090,2,NotAttend
A00090,3,NotAttend
A00090,4,NotAttend
A00090,5,NotAttend
A00091,1,NotAttend
A00091,2,NotAttend
A00091,3,NotAttend
A00091,4,attend
A00091,5,attend
A00092,1,NotAttend
A00092,2,NotAttend
A00092,3,NotAttend
A00092,4,NotAttend
A00092,5,NotAttend
A00093,1,NotAttend
A00093,2,NotAttend
A00093,3,NotAttend
A00093,4,NotAttend
A00093,5,NotAttend
A00094,1,NotAttend
A00094,2,NotAttend
A00094,3,NotAttend
A00094,4,NotAttend
A00094,5,attend
A00095,1,NotAttend
A00095,2,attend
A00095,3,NotAttend
A00095,4,NotAttend
A00095,5,NotAttend
A00096,1,NotAttend
A00096,2,NotAttend
A00096,3,attend
A00096,4,NotAttend
A00096,5,attend
A00097,1,NotAttend
A00097,2,NotAttend
A00097,3,NotAttend
A00097,4,NotAttend
A00097,5,NotAttend
A00098,1,attend
A00098,2,NotAttend
A00098,3,NotAttend
A00098,4,NotAttend
A00098,5,NotAttend
A00099,1,NotAttend
A00099,2,NotAttend
A00099,3,NotAttend
A00099,4,attend
A00099,5,attend
A00100,1,attend
A00100,2,NotAttend
A00100,3,NotAttend
A00100,4,NotAttend
A00100,5,attend
A00101,1,NotAttend
A00101,2,NotAttend
A00101,3,attend
A00101,4,attend
A00101,5,NotAttend
A00102,1,NotAttend
A00102,2,NotAttend
A00102,3,attend
A00102,4,NotAttend
A00102,5,NotAttend
A00103,1,NotAttend
A00103,2,NotAttend
A00103,3,NotAttend
A00103,4,NotAttend
A00103,5,NotAttend
A00104,1,NotAttend
A00104,2,NotAttend
A00104,3,NotAttend
A00104,4,NotAttend
A00104,5,NotAttend
A00105,1,NotAttend
A00105,2,attend
A00105,3,NotAttend
A00105,4,NotAttend
A00105,5,NotAttend
A00106,1,NotAttend
A00106,2,NotAttend
A00106,3,NotAttend
A00106,4,NotAttend
A00106,5,NotAttend
A00107,1,NotAttend
A00107,2,NotAttend
A00107,3,NotAttend
A00107,4,NotAttend
A00107,5,NotAttend
A00108,1,NotAttend
A00108,2,NotAttend
A00108,3,NotAttend
A00108,4,NotAttend
A00108,5,NotAttend
A00109,1,attend
A00109,2,NotAttend
A00109,3,NotAttend
A00109,4,NotAttend
A00109,5,NotAttend
A00110,1,NotAttend
A00110,2,NotAttend
A00110,3,attend
A00110,4,attend
A00110,5,NotAttend
A00111,1,NotAttend
A00111,2,NotAttend
A00111,3,NotAttend
A00111,4,NotAttend
A00111,5,NotAttend
A00112,1,NotAttend
A00112,2,NotAttend
A00112,3,NotAttend
A00112,4,NotAttend
A00112,5,NotAttend
A00113,1,NotAttend
A00113,2,NotAttend
A00113,3,NotAttend
A00113,4,NotAttend
A00113,5,NotAttend
A00114,1,NotAttend
A00114,2,NotAttend
A00114,3,NotAttend
A00114,4,NotAttend
A00114,5,NotAttend
A00115,1,NotAttend
A00115,2,NotAttend
A00115,3,NotAttend
A00115,4,NotAttend
A00115,5,NotAttend
A00116,1,NotAttend
A00116,2,NotAttend
A00116,3,NotAttend
A00116,4,NotAttend
A00116,5,NotAttend
A00117,1,NotAttend
A00117,2,NotAttend
A00117,3,NotAttend
A00117,4,NotAttend
A00117,5,NotAttend
A00118,1,NotAttend
A00118,2,NotAttend
A00118,3,attend
