person_number,year,walk
A02700,2,NotAttend
A02700,3,attend
A02700,4,attend
A02700,5,NotAttend
A02701,1,NotAttend
A02701,2,NotAttend
A02701,3,NotAttend
A02701,4,NotAttend
A02701,5,NotAttend
A02702,1,NotAttend
A02702,2,NotAttend
A02702,3,NotAttend
A02702,4,NotAttend
A02702,5,NotAttend
A02703,1,NotAttend
A02703,2,NotAttend
A02703,3,NotAttend
A02703,4,NotAttend
A02703,5,NotAttend
A02704,1,NotAttend
A02704,2,NotAttend
A02704,3,attend
A02704,4,NotAttend
A02704,5,NotAttend
A02705,1,NotAttend
A02705,2,NotAttend
A02705,3,NotAttend
A02705,4,NotAttend
A02705,5,NotAttend
A02706,1,NotAttend
A02706,2,NotAttend
A02706,3,NotAttend
A02706,4,NotAttend
A02706,5,NotAttend
A02707,1,NotAttend
A02707,2,NotAttend
A02707,3,NotAttend
A02707,4,NotAttend
A02707,5,NotAttend
A02708,1,NotAttend
A02708,2,attend
A02708,3,NotAttend
A02708,4,attend
A02708,5,NotAttend
A02709,1,NotAttend
A02709,2,NotAttend
A02709,3,NotAttend
A02709,4,NotAttend
A02709,5,attend
A02710,1,attend
A02710,2,NotAttend
A02710,3,NotAttend
A02710,4,NotAttend
A02710,5,NotAttend
A02711,1,attend
A02711,2,NotAttend
A02711,3,NotAttend
A02711,4,NotAttend
A02711,5,NotAttend
A02712,1,NotAttend
A02712,2,NotAttend
A02712,3,NotAttend
A02712,4,NotAttend
A02712,5,NotAttend
A02713,1,NotAttend
A02713,2,attend
A02713,3,NotAttend
A02713,4,NotAttend
A02713,5,NotAttend
A02714,1,NotAttend
A02714,2,NotAttend
A02714,3,NotAttend
A02714,4,NotAttend
A02714,5,attend
A02715,1,attend
A02715,2,attend
A02715,3,NotAttend
A02715,4,NotAttend
A02715,5,NotAttend
A02716,1,attend
A02716,2,NotAttend
A02716,3,NotAttend
A02716,4,NotAttend
A02716,5,NotAttend
A02717,1,NotAttend
A02717,2,NotAttend
A02717,3,NotAttend
A02717,4,NotAttend
A02717,5,NotAttend
A02718,1,NotAttend
A02718,2,NotAttend
A02718,3,NotAttend
A02718,4,NotAttend
A02718,5,attend
A02719,1,NotAttend
A02719,2,attend
A02719,3,NotAttend
A02719,4,NotAttend
A02719,5,NotAttend
A02720,1,NotAttend
A02720,2,NotAttend
A02720,3,NotAttend
A02720,4,NotAttend
A02720,5,NotAttend
A02721,1,NotAttend
A02721,2,NotAttend
A02721,3,NotAttend
A02721,4,NotAttend
A02721,5,NotAttend
A02722,1,NotAttend
A02722,2,NotAttend
A02722,3,NotAttend
A02722,4,NotAttend
A02722,5,NotAttend
A02723,1,NotAttend
A02723,2,attend
A02723,3,NotAttend
A02723,4,attend
A02723,5,NotAttend
A02724,1,NotAttend
A02724,2,attend
A02724,3,NotAttend
A02724,4,NotAttend
A02724,5,NotAttend
A02725,1,attend
A02725,2,NotAttend
A02725,3,NotAttend
A02725,4,NotAttend
A02725,5,NotAttend
A02726,1,NotAttend
A02726,2,NotAttend
A02726,3,NotAttend
A02726,4,NotAttend
A02726,5,NotAttend
A02727,1,NotAttend
A02727,2,NotAttend
A02727,3,NotAttend
A02727,4,NotAttend
A02727,5,NotAttend
A02728,1,NotAttend
A02728,2,NotAttend
A02728,3,NotAttend
A02728,4,NotAttend
A02728,5,attend
A02729,1,NotAttend
A02729,2,NotAttend
A02729,3,NotAttend
A02729,4,NotAttend
A02729,5,NotAttend
A02730,1,NotAttend
A02730,2,NotAttend
A02730,3,NotAttend
A02730,4,attend
A02730,5,NotAttend
A02731,1,NotAttend
A02731,2,NotAttend
A02731,3,NotAttend
A02731,4,attend
A02731,5,NotAttend
A02732,1,NotAttend
A02732,2,NotAttend
A02732,3,NotAttend
A02732,4,NotAttend
A02732,5,NotAttend
A02733,1,NotAttend
A02733,2,NotAttend
A02733,3,NotAttend
A02733,4,attend
A02733,5,NotAttend
A02734,1,attend
A02734,2,NotAttend
A02734,3,NotAttend
A02734,4,NotAttend
A02734,5,NotAttend
A02735,1,NotAttend
A02735,2,NotAttend
A02735,3,NotAttend
A02735,4,NotAttend
A02735,5,NotAttend
A02736,1,NotAttend
A02736,2,NotAttend
A02736,3,NotAttend
A02736,4,NotAttend
A02736,5,NotAttend
A02737,1,attend
A02737,2,NotAttend
A02737,3,NotAttend
A02737,4,NotAttend
A02737,5,NotAttend
A02738,1,NotAttend
A02738,2,NotAttend
A02738,3,NotAttend
A02738,4,NotAttend
A02738,5,NotAttend
A02739,1,NotAttend
A02739,2,NotAttend
A02739,3,NotAttend
A02739,4,attend
A02739,5,NotAttend
A02740,1,NotAttend
A02740,2,NotAttend
A02740,3,NotAttend
A02740,4,NotAttend
A02740,5,NotAttend
A02741,1,NotAttend
A02741,2,NotAttend
A02741,3,attend
A02741,4,attend
A02741,5,NotAttend
A02742,1,NotAttend
A02742,2,NotAttend
A02742,3,NotAttend
A02742,4,NotAttend
A02742,5,NotAttend
A02743,1,NotAttend
A02743,2,NotAttend
A02743,3,NotAttend
A02743,4,NotAttend
A02743,5,attend
A02744,1,NotAttend
A02744,2,NotAttend
A02744,3,NotAttend
A02744,4,NotAttend
A02744,5,attend
A02745,1,NotAttend
A02745,2,NotAttend
A02745,3,NotAttend
A02745,4,attend
A02745,5,attend
A02746,1,NotAttend
A02746,2,NotAttend
A02746,3,NotAttend
A02746,4,attend
A02746,5,NotAttend
A02747,1,NotAttend
A02747,2,NotAttend
A02747,3,NotAttend
A02747,4,attend
A02747,5,NotAttend
A02748,1,NotAttend
A02748,2,NotAttend
A02748,3,NotAttend
A02748,4,NotAttend
A02748,5,NotAttend
A02749,1,NotAttend
A02749,2,NotAttend
A02749,3,NotAttend
A02749,4,NotAttend
A02749,5,NotAttend
A02750,1,NotAttend
A02750,2,NotAttend
A02750,3,NotAttend
A02750,4,NotAttend
A02750,5,attend
A02751,1,NotAttend
A02751,2,NotAttend
A02751,3,NotAttend
A02751,4,NotAttend
A02751,5,NotAttend
A02752,1,NotAttend
A02752,2,NotAttend
A02752,3,NotAttend
A02752,4,NotAttend
A02752,5,NotAttend
A02753,1,NotAttend
A02753,2,NotAttend
A02753,3,attend
A02753,4,NotAttend
A02753,5,NotAttend
A02754,1,NotAttend
A02754,2,NotAttend
A02754,3,NotAttend
A02754,4,NotAttend
A02754,5,attend
A02755,1,NotAttend
A02755,2,NotAttend
A02755,3,NotAttend
A02755,4,NotAttend
A02755,5,NotAttend
A02756,1,NotAttend
A02756,2,attend
A02756,3,attend
A02756,4,NotAttend
A02756,5,NotAttend
A02757,1,NotAttend
A02757,2,NotAttend
A02757,3,NotAttend
A02757,4,NotAttend
A02757,5,NotAttend
A02758,1,NotAttend
A02758,2,NotAttend
A02758,3,NotAttend
A02758,4,NotAttend
A02758,5,NotAttend
A02759,1,NotAttend
A02759,2,NotAttend
A02759,3,attend
A02759,4,NotAttend
A02759,5,NotAttend
A02760,1,attend
A02760,2,NotAttend
A02760,3,NotAttend
A02760,4,NotAttend
A02760,5,NotAttend
A02761,1,NotAttend
A02761,2,NotAttend
A02761,3,NotAttend
A02761,4,NotAttend
A02761,5,NotAttend
A02762,1,NotAttend
A02762,2,NotAttend
A02762,3,NotAttend
A02762,4,NotAttend
A02762,5,NotAttend
A02763,1,NotAttend
A02763,2,NotAttend
A02763,3,NotAttend
A02763,4,NotAttend
A02763,5,NotAttend
A02764,1,NotAttend
A02764,2,NotAttend
A02764,3,attend
A02764,4,NotAttend
A02764,5,NotAttend
A02765,1,NotAttend
A02765,2,NotAttend
A02765,3,NotAttend
A02765,4,NotAttend
A02765,5,NotAttend
A02766,1,NotAttend
A02766,2,NotAttend
A02766,3,NotAttend
A02766,4,NotAttend
A02766,5,NotAttend
A02767,1,NotAttend
A02767,2,NotAttend
A02767,3,NotAttend
A02767,4,NotAttend
A02767,5,attend
A02768,1,attend
A02768,2,NotAttend
A02768,3,attend
A02768,4,NotAttend
A02768,5,NotAttend
A02769,1,NotAttend
A02769,2,NotAttend
A02769,3,NotAttend
A02769,4,NotAttend
A02769,5,NotAttend
A02770,1,NotAttend
A02770,2,NotAttend
A02770,3,NotAttend
A02770,4,NotAttend
A02770,5,NotAttend
A02771,1,NotAttend
A02771,2,attend
A02771,3,NotAttend
A02771,4,NotAttend
A02771,5,NotAttend
A02772,1,NotAttend
A02772,2,NotAttend
A02772,3,NotAttend
A02772,4,NotAttend
A02772,5,attend
A02773,1,NotAttend
A02773,2,NotAttend
A02773,3,NotAttend
A02773,4,NotAttend
A02773,5,NotAttend
A02774,1,attend
A02774,2,NotAttend
A02774,3,NotAttend
A02774,4,NotAttend
A02774,5,NotAttend
A02775,1,NotAttend
A02775,2,NotAttend
A02775,3,attend
A02775,4,NotAttend
A02775,5,attend
A02776,1,NotAttend
A02776,2,NotAttend
A02776,3,NotAttend
A02776,4,NotAttend
A02776,5,NotAttend
A02777,1,NotAttend
A02777,2,NotAttend
A02777,3,attend
A02777,4,NotAttend
A02777,5,NotAttend
A02778,1,NotAttend
A02778,2,NotAttend
A02778,3,NotAttend
A02778,4,NotAttend
A02778,5,NotAttend
A02779,1,NotAttend
A02779,2,attend
A02779,3,NotAttend
A02779,4,NotAttend
A02779,5,NotAttend
A02780,1,NotAttend
A02780,2,attend
A02780,3,NotAttend
A02780,4,NotAttend
A02780,5,NotAttend
A02781,1,NotAttend
A02781,2,NotAttend
A02781,3,NotAttend
A02781,4,NotAttend
A02781,5,NotAttend
A02782,1,NotAttend
A02782,2,NotAttend
A02782,3,NotAttend
A02782,4,NotAttend
A02782,5,NotAttend
A02783,1,NotAttend
A02783,2,NotAttend
A02783,3,NotAttend
A02783,4,attend
A02783,5,NotAttend
A02784,1,NotAttend
A02784,2,NotAttend
A02784,3,attend
A02784,4,NotAttend
A02784,5,NotAttend
A02785,1,NotAttend
A02785,2,NotAttend
A02785,3,NotAttend
A02785,4,NotAttend
A02785,5,NotAttend
A02786,1,NotAttend
A02786,2,NotAttend
A02786,3,NotAttend
A02786,4,NotAttend
A02786,5,NotAttend
A02787,1,NotAttend
A02787,2,NotAttend
A02787,3,NotAttend
A02787,4,NotAttend
A02787,5,NotAttend
A02788,1,NotAttend
A02788,2,NotAttend
A02788,3,NotAttend
A02788,4,NotAttend
A02788,5,NotAttend
A02789,1,attend
A02789,2,NotAttend
A02789,3,NotAttend
A02789,4,NotAttend
A02789,5,NotAttend
A02790,1,NotAttend
A02790,2,NotAttend
A02790,3,NotAttend
A02790,4,NotAttend
A02790,5,attend
A02791,1,NotAttend
A02791,2,attend
A02791,3,NotAttend
A02791,4,NotAttend
A02791,5,NotAttend
A02792,1,NotAttend
A02792,2,NotAttend
A02792,3,NotAttend
A02792,4,NotAttend
A02792,5,NotAttend
A02793,1,NotAttend
A02793,2,NotAttend
A02793,3,NotAttend
A02793,4,NotAttend
A02793,5,NotAttend
A02794,1,NotAttend
A02794,2,NotAttend
A02794,3,NotAttend
A02794,4,NotAttend
A02794,5,NotAttend
A02795,1,NotAttend
A02795,2,NotAttend
A02795,3,NotAttend
A02795,4,NotAttend
A02795,5,NotAttend
A02796,1,NotAttend
A02796,2,NotAttend
A02796,3,attend
A02796,4,attend
A02796,5,NotAttend
A02797,1,NotAttend
A02797,2,NotAttend
A02797,3,NotAttend
A02797,4,NotAttend
A02797,5,NotAttend
A02798,1,NotAttend
A02798,2,NotAttend
A02798,3,NotAttend
A02798,4,NotAttend
A02798,5,NotAttend
A02799,1,NotAttend
A02799,2,NotAttend
A02799,3,attend
A02799,4,NotAttend
A02799,5,NotAttend
A02800,1,NotAttend
A02800,2,NotAttend
A02800,3,NotAttend
A02800,4,NotAttend
A02800,5,NotAttend
A02801,1,attend
A02801,2,attend
A02801,3,NotAttend
A02801,4,attend
A02801,5,NotAttend
A02802,1,attend
A02802,2,NotAttend
A02802,3,NotAttend
A02802,4,NotAttend
A02802,5,NotAttend
A02803,1,NotAttend
A02803,2,NotAttend
A02803,3,NotAttend
A02803,4,attend
A02803,5,NotAttend
A02804,1,NotAttend
A02804,2,NotAttend
A02804,3,NotAttend
A02804,4,attend
A02804,5,NotAttend
A02805,1,NotAttend
A02805,2,NotAttend
A02805,3,NotAttend
A02805,4,NotAttend
A02805,5,NotAttend
A02806,1,NotAttend
A02806,2,attend
A02806,3,NotAttend
A02806,4,NotAttend
A02806,5,attend
A02807,1,attend
A02807,2,NotAttend
A02807,3,NotAttend
A02807,4,NotAttend
A02807,5,NotAttend
A02808,1,NotAttend
A02808,2,NotAttend
A02808,3,NotAttend
A02808,4,attend
A02808,5,NotAttend
A02809,1,NotAttend
A02809,2,NotAttend
A02809,3,NotAttend
A02809,4,NotAttend
A02809,5,NotAttend
A02810,1,NotAttend
A02810,2,NotAttend
A02810,3,NotAttend
A02810,4,attend
A02810,5,attend
A02811,1,NotAttend
A02811,2,NotAttend
A02811,3,NotAttend
A02811,4,NotAttend
A02811,5,NotAttend
A02812,1,NotAttend
A02812,2,NotAttend
A02812,3,attend
A02812,4,NotAttend
A02812,5,NotAttend
A02813,1,attend
A02813,2,NotAttend
A02813,3,NotAttend
A02813,4,NotAttend
A02813,5,NotAttend
A02814,1,NotAttend
A02814,2,NotAttend
A02814,3,attend
A02814,4,NotAttend
A02814,5,NotAttend
A02815,1,NotAttend
A02815,2,NotAttend
A02815,3,NotAttend
A02815,4,NotAttend
A02815,5,NotAttend
A02816,1,NotAttend
A02816,2,NotAttend
A02816,3,NotAttend
A02816,4,NotAttend
A02816,5,NotAttend
A02817,1,NotAttend
A02817,2,NotAttend
A02817,3,NotAttend
A02817,4,NotAttend
A02817,5,attend
A02818,1,NotAttend
A02818,2,NotAttend
A02818,3,NotAttend
A02818,4,NotAttend
A02818,5,NotAttend
A02819,1,NotAttend
A02819,2,NotAttend
A02819,3,NotAttend
A02819,4,NotAttend
A02819,5,NotAttend
A02820,1,NotAttend
A02820,2,NotAttend
A02820,3,NotAttend
A02820,4,NotAttend
A02820,5,NotAttend
A02821,1,NotAttend
A02821,2,NotAttend
A02821,3,NotAttend
A02821,4,attend
A02821,5,NotAttend
A02822,1,NotAttend
A02822,2,attend
A02822,3,NotAttend
A02822,4,NotAttend
A02822,5,NotAttend
A02823,1,NotAttend
A02823,2,NotAttend
A02823,3,attend
A02823,4,attend
A02823,5,NotAttend
A02824,1,NotAttend
A02824,2,NotAttend
A02824,3,NotAttend
A02824,4,NotAttend
A02824,5,NotAttend
A02825,1,NotAttend
A02825,2,NotAttend
A02825,3,NotAttend
A02825,4,NotAttend
A02825,5,NotAttend
A02826,1,NotAttend
A02826,2,NotAttend
A02826,3,NotAttend
A02826,4,NotAttend
A02826,5,attend
A02827,1,NotAttend
A02827,2,NotAttend
A02827,3,NotAttend
A02827,4,NotAttend
A02827,5,NotAttend
A02828,1,NotAttend
A02828,2,NotAttend
A02828,3,NotAttend
A02828,4,attend
A02828,5,NotAttend
A02829,1,NotAttend
A02829,2,NotAttend
A02829,3,NotAttend
A02829,4,NotAttend
A02829,5,NotAttend
A02830,1,attend
A02830,2,NotAttend
A02830,3,NotAttend
A02830,4,NotAttend
A02830,5,NotAttend
A02831,1,NotAttend
A02831,2,attend
A02831,3,attend
A02831,4,NotAttend
A02831,5,NotAttend
A02832,1,attend
A02832,2,NotAttend
A02832,3,NotAttend
A02832,4,NotAttend
A02832,5,attend
A02833,1,NotAttend
A02833,2,NotAttend
A02833,3,NotAttend
A02833,4,NotAttend
A02833,5,NotAttend
A02834,1,NotAttend
A02834,2,NotAttend
A02834,3,NotAttend
A02834,4,NotAttend
A02834,5,attend
A02835,1,attend
A02835,2,NotAttend
A02835,3,NotAttend
A02835,4,NotAttend
A02835,5,NotAttend
A02836,1,NotAttend
A02836,2,NotAttend
A02836,3,NotAttend
A02836,4,NotAttend
A02836,5,NotAttend
A02837,1,NotAttend
A02837,2,NotAttend
A02837,3,attend
A02837,4,NotAttend
A02837,5,NotAttend
A02838,1,NotAttend
A02838,2,NotAttend
A02838,3,NotAttend
A02838,4,NotAttend
A02838,5,NotAttend
A02839,1,NotAttend
A02839,2,attend
A02839,3,attend
A02839,4,NotAttend
A02839,5,NotAttend
A02840,1,NotAttend
A02840,2,NotAttend
A02840,3,attend
A02840,4,NotAttend
A02840,5,attend
A02841,1,NotAttend
A02841,2,NotAttend
A02841,3,NotAttend
A02841,4,NotAttend
A02841,5,NotAttend
A02842,1,NotAttend
A02842,2,NotAttend
A02842,3,NotAttend
A02842,4,NotAttend
A02842,5,NotAttend
A02843,1,NotAttend
A02843,2,attend
A02843,3,NotAttend
A02843,4,NotAttend
A02843,5,attend
A02844,1,NotAttend
A02844,2,NotAttend
A02844,3,attend
A02844,4,NotAttend
A02844,5,attend
A02845,1,NotAttend
A02845,2,attend
A02845,3,NotAttend
A02845,4,attend
A02845,5,attend
A02846,1,NotAttend
A02846,2,NotAttend
A02846,3,NotAttend
A02846,4,NotAttend
A02846,5,NotAttend
A02847,1,NotAttend
A02847,2,attend
A02847,3,NotAttend
A02847,4,NotAttend
A02847,5,attend
A02848,1,attend
A02848,2,NotAttend
A02848,3,NotAttend
A02848,4,NotAttend
A02848,5,attend
A02849,1,NotAttend
A02849,2,NotAttend
A02849,3,attend
A02849,4,NotAttend
A02849,5,NotAttend
A02850,1,NotAttend
A02850,2,NotAttend
A02850,3,NotAttend
A02850,4,NotAttend
A02850,5,NotAttend
A02851,1,attend
A02851,2,attend
A02851,3,NotAttend
A02851,4,NotAttend
A02851,5,NotAttend
A02852,1,NotAttend
A02852,2,NotAttend
A02852,3,NotAttend
A02852,4,NotAttend
A02852,5,NotAttend
A02853,1,NotAttend
A02853,2,NotAttend
A02853,3,NotAttend
A02853,4,NotAttend
A02853,5,NotAttend
A02854,1,NotAttend
A02854,2,NotAttend
A02854,3,NotAttend
A02854,4,attend
A02854,5,attend
A02855,1,NotAttend
A02855,2,NotAttend
A02855,3,NotAttend
A02855,4,NotAttend
A02855,5,NotAttend
A02856,1,NotAttend
A02856,2,NotAttend
A02856,3,NotAttend
A02856,4,NotAttend
A02856,5,NotAttend
A02857,1,NotAttend
A02857,2,NotAttend
A02857,3,NotAttend
A02857,4,attend
A02857,5,NotAttend
A02858,1,NotAttend
A02858,2,NotAttend
A02858,3,NotAttend
A02858,4,NotAttend
A02858,5,NotAttend
A02859,1,NotAttend
A02859,2,NotAttend
A02859,3,attend
A02859,4,NotAttend
A02859,5,NotAttend
A02860,1,NotAttend
A02860,2,NotAttend
A02860,3,NotAttend
A02860,4,attend
A02860,5,NotAttend
A02861,1,NotAttend
A02861,2,NotAttend
A02861,3,NotAttend
A02861,4,NotAttend
A02861,5,NotAttend
A02862,1,NotAttend
A02862,2,NotAttend
A02862,3,NotAttend
A02862,4,NotAttend
A02862,5,NotAttend
A02863,1,NotAttend
A02863,2,NotAttend
A02863,3,NotAttend
A02863,4,NotAttend
A02863,5,NotAttend
A02864,1,attend
A02864,2,NotAttend
A02864,3,NotAttend
A02864,4,attend
A02864,5,NotAttend
A02865,1,NotAttend
A02865,2,NotAttend
A02865,3,NotAttend
A02865,4,NotAttend
A02865,5,NotAttend
A02866,1,NotAttend
A02866,2,NotAttend
A02866,3,NotAttend
A02866,4,NotAttend
A02866,5,NotAttend
A02867,1,NotAttend
A02867,2,NotAttend
A02867,3,NotAttend
A02867,4,NotAttend
A02867,5,NotAttend
A02868,1,NotAttend
A02868,2,NotAttend
A02868,3,NotAttend
A02868,4,NotAttend
A02868,5,NotAttend
A02869,1,NotAttend
A02869,2,NotAttend
A02869,3,NotAttend
A02869,4,NotAttend
A02869,5,NotAttend
A02870,1,NotAttend
A02870,2,NotAttend
A02870,3,NotAttend
A02870,4,NotAttend
A02870,5,NotAttend
A02871,1,NotAttend
A02871,2,NotAttend
A02871,3,NotAttend
A02871,4,NotAttend
A02871,5,NotAttend
A02872,1,attend
A02872,2,NotAttend
A02872,3,NotAttend
A02872,4,NotAttend
A02872,5,NotAttend
A02873,1,NotAttend
A02873,2,NotAttend
A02873,3,NotAttend
A02873,4,NotAttend
A02873,5,NotAttend
A02874,1,NotAttend
A02874,2,NotAttend
A02874,3,NotAttend
A02874,4,NotAttend
A02874,5,NotAttend
A02875,1,NotAttend
A02875,2,NotAttend
A02875,3,NotAttend
A02875,4,NotAttend
A02875,5,NotAttend
A02876,1,attend
A02876,2,NotAttend
A02876,3,NotAttend
A02876,4,attend
A02876,5,attend
A02877,1,NotAttend
A02877,2,attend
A02877,3,NotAttend
A02877,4,NotAttend
A02877,5,NotAttend
A02878,1,NotAttend
A02878,2,NotAttend
A02878,3,NotAttend
A02878,4,NotAttend
A02878,5,NotAttend
A02879,1,NotAttend
A02879,2,NotAttend
A02879,3,NotAttend
A02879,4,NotAttend
A02879,5,NotAttend
A02880,1,NotAttend
A02880,2,NotAttend
A02880,3,NotAttend
A02880,4,NotAttend
A02880,5,NotAttend
A02881,1,NotAttend
A02881,2,NotAttend
A02881,3,NotAttend
A02881,4,NotAttend
A02881,5,NotAttend
A02882,1,NotAttend
A02882,2,NotAttend
A02882,3,NotAttend
A02882,4,NotAttend
A02882,5,NotAttend
A02883,1,NotAttend
A02883,2,NotAttend
A02883,3,NotAttend
A02883,4,attend
A02883,5,NotAttend
A02884,1,NotAttend
A02884,2,NotAttend
A02884,3,NotAttend
A02884,4,NotAttend
A02884,5,NotAttend
A02885,1,NotAttend
A02885,2,NotAttend
A02885,3,NotAttend
A02885,4,NotAttend
A02885,5,attend
A02886,1,attend
A02886,2,NotAttend
A02886,3,NotAttend
A02886,4,NotAttend
A02886,5,NotAttend
A02887,1,attend
A02887,2,NotAttend
A02887,3,NotAttend
A02887,4,NotAttend
A02887,5,NotAttend
A02888,1,attend
A02888,2,NotAttend
A02888,3,NotAttend
A02888,4,NotAttend
A02888,5,NotAttend
A02889,1,NotAttend
A02889,2,NotAttend
A02889,3,NotAttend
A02889,4,NotAttend
A02889,5,NotAttend
A02890,1,NotAttend
A02890,2,NotAttend
A02890,3,NotAttend
A02890,4,NotAttend
A02890,5,NotAttend
A02891,1,NotAttend
A02891,2,NotAttend
A02891,3,NotAttend
A02891,4,attend
A02891,5,NotAttend
A02892,1,attend
A02892,2,NotAttend
A02892,3,NotAttend
A02892,4,NotAttend
A02892,5,NotAttend
A02893,1,NotAttend
A02893,2,NotAttend
A02893,3,NotAttend
A02893,4,NotAttend
A02893,5,NotAttend
A02894,1,NotAttend
A02894,2,NotAttend
A02894,3,attend
A02894,4,NotAttend
A02894,5,NotAttend
A02895,1,NotAttend
A02895,2,attend
A02895,3,NotAttend
A02895,4,NotAttend
A02895,5,NotAttend
A02896,1,NotAttend
A02896,2,NotAttend
A02896,3,NotAttend
A02896,4,NotAttend
A02896,5,NotAttend
A02897,1,NotAttend
A02897,2,attend
A02897,3,NotAttend
A02897,4,NotAttend
A02897,5,NotAttend
A02898,1,NotAttend
A02898,2,NotAttend
A02898,3,NotAttend
A02898,4,NotAttend
A02898,5,NotAttend
A02899,1,NotAttend
A02899,2,NotAttend
A02899,3,NotAttend
A02899,4,NotAttend
A02899,5,attend
A02900,1,NotAttend
A02900,2,NotAttend
A02900,3,NotAttend
A02900,4,NotAttend
A02900,5,attend
A02901,1,NotAttend
A02901,2,NotAttend
A02901,3,NotAttend
A02901,4,NotAttend
A02901,5,NotAttend
A02902,1,NotAttend
A02902,2,NotAttend
A02902,3,attend
A02902,4,NotAttend
A02902,5,attend
A02903,1,NotAttend
A02903,2,NotAttend
A02903,3,NotAttend
A02903,4,attend
A02903,5,NotAttend
A02904,1,NotAttend
A02904,2,NotAttend
A02904,3,NotAttend
A02904,4,NotAttend
A02904,5,NotAttend
A02905,1,NotAttend
A02905,2,NotAttend
A02905,3,NotAttend
A02905,4,NotAttend
A02905,5,NotAttend
A02906,1,NotAttend
A02906,2,NotAttend
A02906,3,NotAttend
A02906,4,NotAttend
A02906,5,NotAttend
A02907,1,NotAttend
A02907,2,NotAttend
A02907,3,NotAttend
A02907,4,NotAttend
A02907,5,NotAttend
A02908,1,attend
A02908,2,attend
A02908,3,NotAttend
A02908,4,NotAttend
A02908,5,attend
A02909,1,NotAttend
A02909,2,NotAttend
A02909,3,NotAttend
A02909,4,NotAttend
A02909,5,NotAttend
A02910,1,attend
A02910,2,NotAttend
A02910,3,NotAttend
A02910,4,NotAttend
A02910,5,NotAttend
A02911,1,attend
A02911,2,NotAttend
A02911,3,NotAttend
A02911,4,NotAttend
A02911,5,NotAttend
A02912,1,NotAttend
A02912,2,NotAttend
A02912,3,NotAttend
A02912,4,NotAttend
A02912,5,NotAttend
A02913,1,NotAttend
A02913,2,NotAttend
A02913,3,attend
A02913,4,attend
A02913,5,attend
A02914,1,NotAttend
A02914,2,NotAttend
A02914,3,attend
A02914,4,NotAttend
A02914,5,NotAttend
A02915,1,NotAttend
A02915,2,NotAttend
A02915,3,NotAttend
A02915,4,attend
A02915,5,NotAttend
A02916,1,NotAttend
A02916,2,attend
A02916,3,attend
A02916,4,NotAttend
A02916,5,NotAttend
A02917,1,NotAttend
A02917,2,NotAttend
A02917,3,NotAttend
A02917,4,NotAttend
A02917,5,NotAttend
A02918,1,NotAttend
A02918,2,NotAttend
A02918,3,NotAttend
A02918,4,NotAttend
A02918,5,NotAttend
A02919,1,NotAttend
A02919,2,NotAttend
A02919,3,NotAttend
A02919,4,NotAttend
A02919,5,NotAttend
A02920,1,NotAttend
A02920,2,NotAttend
A02920,3,NotAttend
A02920,4,NotAttend
A02920,5,NotAttend
A02921,1,NotAttend
A02921,2,NotAttend
A02921,3,NotAttend
A02921,4,NotAttend
A02921,5,NotAttend
A02922,1,NotAttend
A02922,2,NotAttend
A02922,3,NotAttend
A02922,4,NotAttend
A02922,5,NotAttend
A02923,1,NotAttend
A02923,2,NotAttend
A02923,3,NotAttend
A02923,4,attend
A02923,5,NotAttend
A02924,1,NotAttend
A02924,2,NotAttend
A02924,3,NotAttend
A02924,4,NotAttend
A02924,5,NotAttend
A02925,1,NotAttend
A02925,2,NotAttend
A02925,3,attend
A02925,4,attend
A02925,5,NotAttend
A02926,1,NotAttend
A02926,2,NotAttend
A02926,3,NotAttend
A02926,4,NotAttend
A02926,5,NotAttend
A02927,1,NotAttend
A02927,2,NotAttend
A02927,3,NotAttend
A02927,4,NotAttend
A02927,5,NotAttend
A02928,1,attend
A02928,2,NotAttend
A02928,3,attend
A02928,4,NotAttend
A02928,5,attend
A02929,1,NotAttend
A02929,2,NotAttend
A02929,3,NotAttend
A02929,4,NotAttend
A02929,5,attend
A02930,1,attend
A02930,2,NotAttend
A02930,3,NotAttend
A02930,4,NotAttend
A02930,5,NotAttend
A02931,1,NotAttend
A02931,2,NotAttend
A02931,3,NotAttend
A02931,4,NotAttend
A02931,5,NotAttend
A02932,1,NotAttend
A02932,2,NotAttend
A02932,3,attend
A02932,4,NotAttend
A02932,5,attend
A02933,1,attend
A02933,2,NotAttend
A02933,3,NotAttend
A02933,4,NotAttend
A02933,5,NotAttend
A02934,1,attend
A02934,2,NotAttend
A02934,3,NotAttend
A02934,4,NotAttend
A02934,5,NotAttend
A02935,1,attend
A02935,2,attend
A02935,3,NotAttend
A02935,4,NotAttend
A02935,5,NotAttend
A02936,1,NotAttend
A02936,2,NotAttend
A02936,3,NotAttend
A02936,4,NotAttend
A02936,5,NotAttend
A02937,1,NotAttend
A02937,2,NotAttend
A02937,3,NotAttend
A02937,4,attend
A02937,5,NotAttend
A02938,1,attend
A02938,2,NotAttend
A02938,3,NotAttend
A02938,4,NotAttend
A02938,5,NotAttend
A02939,1,NotAttend
A02939,2,NotAttend
A02939,3,NotAttend
A02939,4,NotAttend
A02939,5,NotAttend
A02940,1,NotAttend
A02940,2,NotAttend
A02940,3,NotAttend
A02940,4,NotAttend
A02940,5,NotAttend
A02941,1,attend
A02941,2,NotAttend
A02941,3,attend
